codigo_nacional;codigo_agroclima;ID;estacion;categoria;lat;long;altitud;comuna;region;anio_creacion;Nota
400047;;INIA-70;Octay;INIA;-40.957222;-72.885555;178;Puerto Octay;Los Lagos;2011;
420021;;INIA-230;Pid-Pid;INIA;-42.41167;-73.78389;81;Castro;Los Lagos;2018;
410030;;INIA-68;Polizones;INIA;-41.115277;-73.376666;137;Fresia;Los Lagos;2011;
410040;;EXT-114;Puerto Varas - ESSAL;DMC;-41.324443;-72.976666;70;Puerto Varas;Los Lagos;2018;
400037;;INIA-133;Quilacahuin;INIA;-40.348055;-73.3075;17;San Pablo;Los Lagos;2014;
410028;;INIA-50;Quilanto;INIA;-41.030554;-72.99611;161;Frutillar;Los Lagos;2011;
420022;;INIA-231;Quilquico;INIA;-42.491388;-73.708888;109;Castro;Los Lagos;2018;
400011;;INIA-19;Remehue;INIA;-40.522221;-73.063611;73;Osorno;Los Lagos;1972;
420024;;INIA-67;Tara;INIA;-42.703611;-73.78861;145;Chonchi;Los Lagos;2011;
420020;;INIA-309;Tenaún;INIA;-42.31278;-73.39972;130;Dalcahue;Los Lagos;2019;
450005;;EXT-222;Aeródromo Balmaceda;DMC;-45.918332;-71.677777;517;Coyhaique;Aisén;1950;
430009;;EXT-198;Aeródromo Melinka;DMC;-43.897777;-73.739444;8;Guaitecas;Aisén;2009;
450001;;EXT-88;Aeródromo Puerto Aysén;DMC;-45.39944;-72.67722;11;Aisén;Aisén;1931;
450004;;EXT-89;Aeródromo Teniente Vidal;DMC;-45.590833;-72.102222;299;Coyhaique;Aisén;1943;
450025;;INIA-234;Arroyo el Gato;INIA;-45.162777;-71.94361;504;Coyhaique;Aisén;2019;
460013;;INIA-226;Bajada Ibañez;INIA;-46.18055;-72.04333;523;Río Ibáñez;Aisén;2017;
460010;;INIA-13;Chile Chico;INIA;-46.543333;-71.699166;213;Chile Chico;Aisén;2009;
470007;;INIA-32;Cochrane;INIA;-47.241666;-72.582221;246;Cochrane;Aisén;2009;
450019;;INIA-98;El Claro;INIA;-45.58111;-72.092221;319;Coyhaique;Aisén;2012;
430012;;INIA-166;La Junta;INIA;-43.916943;-72.387221;40;Cisnes;Aisén;2017;
450022;;EXT-197;Mirador Marchant;DMC;-45.52528;-72.09806;438;Coyhaique;Aisén;2018;
450026;;INIA-301;Ñirehuao;INIA;-45.24972;-71.69417;510;Coyhaique;Aisén;2018;
460014;;INIA-306;Puerto Ibañez;INIA;-46.27833;-71.94139;225;Río Ibáñez;Aisén;2019;
440004;;EXT-87;Puyuhuapi;DMC;-44.323332;-72.555277;11;Cisnes;Aisén;2016;
480002;;EXT-90;Subcomisaría de Villa O'Higgins;DMC;-48.47139;-72.56028;280;O’Higgins;Aisén;1996;
450020;;INIA-16;Tamelaike;INIA;-45.759166;-72.061944;470;Coyhaique;Aisén;2009;
NA;;EXT-66;Tortel;UCONCE;-47.8;-73.54;0;Tortel;Aisén;2015;
450021;;INIA-44;Vista Hermosa;INIA;-45.936944;-71.835277;740;Coyhaique;Aisén;2010;
530005;;EXT-95;Aeródromo Fuentes Martínez;DMC;-53.253611;-70.32611;25;Porvenir;Magallanes;1985;
510005;;EXT-91;Aeródromo Teniente Gallardo;DMC;-51.667221;-72.528888;69;Natales;Magallanes;1983;
550001;;EXT-97;Aeropuerto Guardiamarina Zañartu;DMC;-54.931666;-67.615555;12;Cabo de Hornos;Magallanes;1959;
950001;;EXT-98;Base Eduardo Frei Montalva;DMC;-62.191944;-58.979721;45;Antártica;Magallanes;1969;
510011;;INIA-159;Cerro Castillo;INIA;-51.176943;-72.435833;115;Torres del Paine;Magallanes;2016;
520030;;EXT-176;Cerro Sombrero MA;DMC;-52.776388;-69.294721;64;Primavera;Magallanes;2018;
